 ICAO 	 Name	Lat     	 Lon	Lvl	 BNL 	Edit date	Editor
EHSE	Seppe	5133370N	00433140E	3	0		
EHTE	Teuge	5214700N	00602780E	3	0		
EHTW	Twenthe	5216300N	00653200E	3	0		
EHVB	Valkenburg	5210000N	00425000E	3	0		
EHVK	Volkel	5139450N	00542450E	3	0		
EHWO	Woensdrecht	5126920N	00420550E	3	0		
EHZZ	Midden-Zeeland	5130730N	00343830E	3	0		
EHZZ	Axel	5115370N	00353300E	2	0		
EHZZ	Biddinghuizen	5225820N	00550470E	2	0		
EHZZ	Haamstede	5142450N	00342850E	3	0		
EHZZ	Malden	5147220N	00552840E	2	0		
EHZZ	Marknesse	5241150N	00554670E	2	0		
EHZZ	Nistelrode	5141030N	00532990E	2	0		
EHZZ	Salland	5228830N	00619430E	2	0		
EHZZ	Schinveld	5058950N	00600150E	2	0		
EHZZ	Terlet	5203480N	00555650E	4	0		
EHZZ	Veendam	5305070N	00649420E	2	0		
EHZZ	Venlo	5121750N	00612950E	2	0		
EHZZ	Wieringermeer	5249230N	00455670E	2	0		
ELLX	Luxembourg	4937210N	00612150E	5	0		
ELNT	Noertange	4958850N	00555050E	3	0		
ELZZ	Useldange	4945930N	00558050E	3	0		
ETEH	Bad Kreuznach	4950950N	00753380E	3	0		
ETHM	Mendig	5021950N	00718760E	3	0		
ETNG	Geilenkirchen	5057650N	00602520E	3	0		
ETNN	Norvenich	5049370N	00639580E	3	0		
ETNP	Hopsten	5220260N	00732650E	3	0		
ETSB	Buchel	5010450N	00703830E	3	0		
ETUL	Laarbruch	5136150N	00608550E	4	0		
ETUR	Bruggen	5112000N	00607950E	3	0		
FYBJ	Bitterwasser	2351850S	01759367E	4	0		
FYGF	Grootfontein	1936000S	01808000E	4	0		
FYKT	Keetmanshoop	2632433S	01806817E	3	0		
FYLZ	Luederitz	2641000S	01515000E	4	0		
FYML	Mariental	2436250S	01755500E	3	0		
FYOA	Ondangwa	1753000S	01558000E	3	0		
FYRP	Rosh Pinah	2757000S	01646000E	3	0		
FYSM	Swakopmund	2239500S	01434000E	3	0		
FYWB	Walvis Bay	2300000S	01438400E	4	0		
FYWE	Windhoek	2228767S	01728350E	5	0		
KAZZ	Air Sailing	3952220N	11942120W	3	0		
KBIH	Bishop	3722390N	11821820W	3	0		
KBTY	Beatty	3651600N	11647100W	3	0		
KCXP	Carson City	3911720N	11944750W	3	0		
KEKO	Elko	4049400N	11547400W	3	0		
KELY	Ely	3917900N	11450400W	3	0		
KFLX	Fallon	3929970N	11844940W	4	0		
KHZZ	Hilton	3836720N	11900130W	3	0		
KMEV	Minden	3900000N	11945120W	4	0		
KRNO	Reno	3929910N	11946080W	5	0		
KRZZ	Rosachi	3843030N	11919160W	3	0		
KTPH	Tonopah	3803610N	11705230W	3	0		
KTRK	Truckee	3919300N	12008020W	3	0		
LDRI	Rijeka	4513000N	01434217E	5	0		
LE25	Soria	4148730N	00227910W	3	0		
LECX	Campolara	4054230N	00431550W	3	0		
LEFM	Fuentemilanos	4053310N	00414510W	3	0		
LETP	Santo Tome	4112010N	00335410W	3	0		
LEZZ	Alcazaran	4122300N	00441810W	3	0		
LEZZ	Alto Rey	4106550N	00259230W	3	0		
LEZZ	Avila	4036230N	00447450W	1	0		
LEZZ	Ayllon	4124260N	00327380W	3	0		
LEZZ	Gallegos	4104200N	00346100W	3	0		
LEZZ	La Salseda	4103800N	00352730W	3	0		
LEZZ	Piedrahita	4028710N	00521680W	3	0		
LEZZ	Torrevieja	4133330N	00354190W	3	0		
LEZZ	Villacastin	4046980N	00427590W	3	0		
LFAC	Calais	5057650N	00157150E	4	0		
LFAD	Compiegne	4926000N	00248320E	3	0		
LFAF	Laon	4935700N	00337850E	4	0		
LFAG	Peronne	4952060N	00301410E	3	0		
LFAI	Nangis	4835690N	00300800E	3	0		
LFAP	Rethel	4928870N	00421830E	3	0		
LFAQ	Bray	4958100N	00242450E	3	0		
LFAR	Montdidier	4940330N	00234100E	3	0		
LFAV	Valenciennes	5019470N	00327970E	3	0		
LFAY	Amiens	4952340N	00223330E	3	0		
LFBI	Poitiers	4635240N	00018430E	5	0		
LFDV	Couhe	4616310N	00011390E	3	0		
LFDW	Chauvigny	4634960N	00038500E	2	0		
LFEF	Amboise	4720420N	00056500E	3	0		
LFEF	Le Blanc	4637190N	00105200E	3	0		
LFEG	Argenton	4635940N	00135950E	3	0		
LFEH	Aubigny	4728940N	00223950E	3	0		
