50°55,100'N	006°05,400'E
50°56,100'N	006°01,100'E
50°57,800'N	006°00,900'E
50°59,100'N	006°01,500'E
50°59,100'N	005°57,900'E
50°59,500'N	005°57,300'E
50°58,500'N	005°53,400'E
50°58,900'N	005°53,500'E
50°59,300'N	005°54,000'E
51°00,200'N	005°54,200'E
51°01,900'N	005°52,500'E
51°03,000'N	005°52,100'E
51°03,800'N	005°54,900'E
51°02,200'N	005°56,100'E
51°02,100'N	005°57,400'E
51°03,700'N	005°58,200'E
51°05,000'N	005°59,800'E
51°05,800'N	006°02,000'E
51°08,000'N	006°05,600'E
51°09,000'N	006°09,600'E
51°09,500'N	006°10,300'E
51°10,400'N	006°08,400'E
51°11,200'N	006°10,700'E
51°11,800'N	006°09,700'E
51°10,800'N	006°07,100'E
51°10,300'N	006°05,800'E
51°10,800'N	006°04,400'E
51°13,300'N	006°04,100'E
51°13,400'N	006°05,100'E
51°14,600'N	006°04,300'E
51°16,600'N	006°07,400'E
51°17,400'N	006°07,900'E
51°19,900'N	006°09,900'E
51°20,300'N	006°11,400'E
51°21,600'N	006°13,300'E
51°24,100'N	006°13,500'E
51°24,100'N	006°12,300'E
51°26,900'N	006°12,900'E
51°28,400'N	006°13,300'E
51°29,500'N	006°12,600'E
51°31,400'N	006°12,100'E
51°32,300'N	006°10,500'E
51°34,100'N	006°09,200'E
51°34,900'N	006°07,500'E
51°35,500'N	006°07,100'E
51°36,400'N	006°05,400'E
51°39,300'N	006°06,900'E
51°40,600'N	006°01,900'E
51°41,800'N	006°01,700'E
51°43,287'N	006°01,758'E
51°44,212'N	005°59,347'E
51°44,106'N	005°57,753'E
51°45,319'N	005°57,301'E
51°46,067'N	005°59,009'E
51°48,375'N	005°58,330'E
51°49,400'N	005°57,106'E
51°50,201'N	005°57,368'E
51°49,819'N	005°59,011'E
51°50,523'N	006°01,256'E
51°51,757'N	006°03,797'E
51°50,969'N	006°06,143'E
51°50,832'N	006°08,495'E
51°50,571'N	006°09,793'E
51°51,331'N	006°10,090'E
51°52,126'N	006°08,848'E
51°53,426'N	006°07,727'E
51°53,516'N	006°06,507'E
51°53,924'N	006°06,394'E
51°53,857'N	006°07,516'E
51°54,087'N	006°08,641'E
51°53,737'N	006°11,478'E
51°52,504'N	006°12,218'E
51°52,236'N	006°15,068'E
51°52,562'N	006°16,110'E
51°52,099'N	006°17,769'E
51°51,348'N	006°18,443'E
51°50,944'N	006°20,934'E
51°49,641'N	006°23,641'E
51°51,329'N	006°24,305'E
51°52,166'N	006°23,354'E
51°52,485'N	006°23,697'E
51°51,831'N	006°25,750'E
51°51,980'N	006°27,254'E
51°51,447'N	006°28,624'E
51°52,991'N	006°32,004'E
51°53,185'N	006°34,003'E
51°54,187'N	006°36,648'E
51°54,095'N	006°38,337'E
51°54,961'N	006°40,277'E
51°54,993'N	006°41,132'E
51°54,334'N	006°41,597'E
51°54,011'N	006°43,721'E
51°56,232'N	006°47,460'E
51°57,729'N	006°47,845'E
51°58,142'N	006°49,370'E
51°59,554'N	006°49,598'E
52°02,529'N	006°42,465'E
52°02,642'N	006°40,717'E
52°04,279'N	006°41,568'E
52°04,538'N	006°43,734'E
52°05,174'N	006°44,518'E
52°07,009'N	006°45,318'E
52°07,326'N	006°46,534'E
52°07,130'N	006°49,158'E
52°07,212'N	006°50,943'E
52°08,261'N	006°52,524'E
52°09,278'N	006°52,510'E
52°10,835'N	006°54,455'E
52°10,846'N	006°56,094'E
52°11,306'N	006°57,246'E
52°12,457'N	006°58,024'E
52°13,764'N	006°59,562'E
52°13,612'N	007°00,851'E
52°13,961'N	007°02,900'E
52°14,531'N	007°03,643'E
