49°33,730'N	005°45,510'E
49°32,590'N	005°45,440'E
49°32,370'N	005°44,800'E
49°32,410'N	005°44,320'E
49°32,760'N	005°43,920'E
49°32,430'N	005°43,140'E
49°32,430'N	005°42,160'E
49°33,240'N	005°39,660'E
49°32,980'N	005°38,570'E
49°32,500'N	005°37,900'E
49°31,620'N	005°36,920'E
49°31,200'N	005°37,320'E
49°30,350'N	005°36,610'E
49°30,570'N	005°36,210'E
49°31,010'N	005°36,070'E
49°31,710'N	005°34,250'E
49°31,560'N	005°33,840'E
49°31,820'N	005°33,470'E
49°31,400'N	005°32,590'E
49°30,940'N	005°32,490'E
49°30,440'N	005°30,050'E
49°30,440'N	005°28,940'E
49°29,910'N	005°28,460'E
49°29,980'N	005°27,920'E
49°30,530'N	005°27,920'E
49°31,010'N	005°26,870'E
49°31,580'N	005°27,680'E
49°31,560'N	005°28,020'E
49°32,390'N	005°27,920'E
49°33,160'N	005°26,540'E
49°33,420'N	005°26,970'E
49°34,060'N	005°27,410'E
49°34,210'N	005°26,230'E
49°35,400'N	005°25,690'E
49°35,580'N	005°25,860'E
49°36,590'N	005°24,540'E
49°37,220'N	005°23,190'E
49°37,900'N	005°20,820'E
49°37,000'N	005°20,310'E
49°37,050'N	005°19,530'E
49°36,690'N	005°18,790'E
49°37,530'N	005°18,310'E
49°38,840'N	005°19,090'E
49°39,240'N	005°20,010'E
49°40,400'N	005°18,450'E
49°41,060'N	005°17,030'E
49°41,500'N	005°16,820'E
49°41,870'N	005°16,110'E
49°41,650'N	005°15,300'E
49°41,100'N	005°14,450'E
49°41,410'N	005°14,590'E
49°41,580'N	005°13,810'E
49°41,300'N	005°13,070'E
49°41,830'N	005°12,360'E
49°41,610'N	005°12,050'E
49°41,740'N	005°09,820'E
49°42,790'N	005°09,950'E
49°43,160'N	005°09,240'E
49°42,790'N	005°08,770'E
49°42,810'N	005°07,650'E
49°44,000'N	005°07,350'E
49°45,790'N	005°05,860'E
49°45,770'N	005°03,830'E
49°46,050'N	005°03,760'E
49°46,360'N	005°02,270'E
49°46,900'N	005°00,500'E
49°48,000'N	005°00,000'E
49°48,200'N	004°57,500'E
49°47,200'N	004°56,000'E
49°47,600'N	004°51,200'E
49°48,640'N	004°51,910'E
49°49,100'N	004°52,700'E
49°50,500'N	004°52,100'E
49°50,600'N	004°51,300'E
49°52,200'N	004°50,900'E
49°52,000'N	004°51,400'E
49°54,600'N	004°53,500'E
49°55,440'N	004°52,660'E
49°55,970'N	004°51,510'E
49°57,000'N	004°51,000'E
49°57,060'N	004°49,530'E
49°57,500'N	004°47,500'E
49°59,000'N	004°47,800'E
49°59,000'N	004°48,300'E
49°59,800'N	004°49,200'E
50°01,600'N	004°49,200'E
50°02,400'N	004°50,500'E
50°03,800'N	004°49,200'E
50°04,180'N	004°50,430'E
50°05,080'N	004°50,810'E
50°05,650'N	004°50,400'E
50°06,200'N	004°51,300'E
50°05,300'N	004°52,300'E
50°05,720'N	004°52,650'E
50°05,780'N	004°52,280'E
50°06,720'N	004°52,380'E
50°07,340'N	004°52,110'E
50°07,700'N	004°52,800'E
50°08,200'N	004°53,800'E
50°08,430'N	004°53,680'E
50°08,480'N	004°52,890'E
50°09,220'N	004°52,790'E
50°09,300'N	004°49,900'E
50°10,200'N	004°49,600'E
50°09,160'N	004°48,450'E
50°08,200'N	004°45,800'E
50°06,700'N	004°45,200'E
50°05,800'N	004°42,600'E
50°03,900'N	004°41,000'E
50°03,600'N	004°41,200'E
50°03,700'N	004°42,000'E
50°00,500'N	004°41,100'E
49°59,800'N	004°41,800'E
49°59,700'N	004°39,900'E
49°59,200'N	004°38,000'E
49°59,000'N	004°34,800'E
49°58,200'N	004°33,600'E
49°58,200'N	004°32,500'E
49°57,200'N	004°31,400'E
49°56,830'N	004°30,550'E
49°56,940'N	004°28,840'E
49°56,280'N	004°26,650'E
49°56,500'N	004°26,500'E
49°57,210'N	004°22,690'E
49°57,160'N	004°21,430'E
